#   Data imported from folder=prg HD:Users:ilavsky:Documents:Experiments:ESRF SAXS experiment 5 2008:data colloids:
#   Data file name=colloids_0_0008.dat
#   q[nm-1]colloids_0_0008_Spheres-0.42_trm=0.581773
#   Exported=Sat, Aug 30, 2008 7:28:13 AM
Q_colloids_0_0008	R_colloids_0_0008	S_colloids_0_0008
0.00796857	962.97	31.03176
0.00830766	945.38	30.74703
0.00864675	916.784	30.27844
0.00898584	882.687	29.71005
0.00932492	886.632	29.77637
0.00966401	911.367	30.18886
0.0100031	951.201	30.84155
0.0103422	945.663	30.75163
0.0106813	941.223	30.67936
0.0110204	936.072	30.59529
0.0113595	936.18	30.59706
0.0116985	933.638	30.55549
0.0120376	936.131	30.59626
0.0123767	938.528	30.6354
0.0127158	944.216	30.7281
0.0130549	952.924	30.86947
0.013394	966.247	31.08451
0.0137331	978.318	31.27808
0.0140722	989.945	31.46339
0.0144112	1003.65	31.68044
0.0147503	1022.25	31.97264
0.0150894	1041.57	32.27336
0.0154285	1058.41	32.53321
0.0157676	1078.93	32.84707
0.0161067	1099.73	33.16218
0.0164458	1121.75	33.49253
0.0167849	1145.62	33.84701
0.017124	1173.52	34.25668
0.017463	1205.71	34.72334
0.0178021	1237.95	35.18451
0.0181412	1273.22	35.68221
0.0184803	1308.05	36.16697
0.0188194	1348.28	36.71893
0.0191585	1394.36	37.34113
0.0194976	1443.14	37.98868
0.0198367	1496.41	38.68346
0.0201757	1554.67	39.42931
0.0205148	1614.14	40.17636
0.0208539	1684.46	41.04217
0.021193	1759.55	41.94699
0.0215321	1839.65	42.89114
0.0218712	1927.73	43.90592
0.0222103	2028.29	45.03654
0.0225494	2135.15	46.20768
0.0228884	2253.18	47.46767
0.0232275	2380.11	48.78637
0.0235666	2524.61	50.2455
0.0239057	2682.84	51.79614
0.0242448	2855.49	53.43679
0.0245839	3041.74	55.15197
0.024923	3252.3	57.02894
0.0252621	3484.47	59.0294
0.0256012	3724.47	61.02843
0.0259402	3986.96	63.14238
0.0262793	4266.88	65.32136
0.0266184	4564.17	67.55864
0.0269575	4856.31	69.68723
0.0272966	5155.78	71.80376
0.0276357	5440.51	73.75981
0.0279748	5715.27	75.5994
0.0283139	5950.74	77.14104
0.0286529	6137.02	78.33913
0.028992	6259.45	79.11668
0.0293311	6324.32	79.52559
0.0296702	6313.53	79.45773
0.0300093	6213.26	78.82423
0.0303484	6030.06	77.65346
0.0306875	5770.43	75.96335
0.0310266	5470.67	73.96397
0.0313657	5094.07	71.37275
0.0317047	4695.26	68.52197
0.0320438	4266.7	65.31998
0.0323829	3847.02	62.02435
0.032722	3423.05	58.50684
0.0330611	3024.99	54.99991
0.0334002	2651.11	51.48893
0.0337393	2311.48	48.07785
0.0340784	2006.1	44.78951
0.0344174	1733.48	41.63508
0.0347565	1495.86	38.67635
0.0350956	1287.71	35.88467
0.0354347	1110.34	33.32177
0.0357738	958.424	30.95842
0.0361129	823.872	28.70317
0.036452	708.732	26.62202
0.0367911	612.582	24.75039
0.0371301	527.781	22.97348
0.0374692	454.889	21.32813
0.0378083	392.677	19.81608
0.0381474	339.038	18.41298
0.0384865	292.489	17.10231
0.0388256	252.569	15.89242
0.0391647	218.215	14.7721
0.0395038	188.184	13.71802
0.0398429	162.819	12.76005
0.0401819	140.74	11.86339
0.040521	121.918	11.04165
0.0408601	105.972	10.29427
0.0411992	92.1678	9.600407
0.0415383	80.1674	8.953625
0.0418774	70.495	8.396131
0.0422165	62.7438	7.921099
0.0425556	56.1592	7.493944
0.0428946	50.8034	7.12765
