#   Data imported from folder=prg HD:Users:ilavsky:Documents:Experiments:ESRF SAXS experiment 5 2008:data colloids:
#   Data file name=colloids_0_0005.dat
#   q[nm-1]colloids_0_0005_Spheres-0.05_trm=0.537848
#   Exported=Sat, Aug 30, 2008 7:27:59 AM
Q_colloids_0_0005	R_colloids_0_0005	S_colloids_0_0005
0.00796857	2744.41	52.38712
0.00830766	2705.28	52.01231
0.00864675	2712.05	52.07735
0.00898584	2665.26	51.62616
0.00932492	2690.92	51.87408
0.00966401	2688.96	51.85518
0.0100031	2718.71	52.14125
0.0103422	2697.89	51.94122
0.0106813	2681.68	51.78494
0.0110204	2654.24	51.51932
0.0113595	2639.47	51.37577
0.0116985	2610.33	51.09139
0.0120376	2592.43	50.91591
0.0123767	2561.55	50.61176
0.0127158	2535.88	50.35752
0.0130549	2512.26	50.12245
0.013394	2487.85	49.87835
0.0137331	2458.54	49.58367
0.0140722	2430.89	49.30405
0.0144112	2398.17	48.97111
0.0147503	2369.17	48.67412
0.0150894	2337.41	48.34677
0.0154285	2302.02	47.97937
0.0157676	2272.02	47.66571
0.0161067	2234.56	47.27113
0.0164458	2196.92	46.87131
0.0167849	2158.25	46.45697
0.017124	2117.89	46.02054
0.017463	2080.65	45.61414
0.0178021	2041.33	45.18108
0.0181412	2000.53	44.72728
0.0184803	1953.06	44.19344
0.0188194	1909.55	43.6984
0.0191585	1865.58	43.19236
0.0194976	1818.56	42.64458
0.0198367	1771.44	42.08848
0.0201757	1726.52	41.55141
0.0205148	1675.34	40.93092
0.0208539	1627.46	40.34179
0.021193	1579.61	39.74431
0.0215321	1530.19	39.11764
0.0218712	1479.87	38.46908
0.0222103	1427.66	37.78439
0.0225494	1375.42	37.08665
0.0228884	1324.97	36.40014
0.0232275	1275.8	35.71834
0.0235666	1229.06	35.05795
0.0239057	1180.58	34.35957
0.0242448	1132.33	33.65011
0.0245839	1083.81	32.92127
0.024923	1038.5	32.22577
0.0252621	993.984	31.52751
0.0256012	947.412	30.78006
0.0259402	903.811	30.06345
0.0262793	860.549	29.33512
0.0266184	819.677	28.63
0.0269575	777.793	27.88894
0.0272966	737.353	27.15425
0.0276357	698.522	26.42957
0.0279748	661.506	25.71976
0.0283139	624.769	24.99538
0.0286529	589.194	24.27332
0.028992	554.826	23.55474
0.0293311	522.435	22.85684
0.0296702	491.579	22.17158
0.0300093	461.272	21.47724
0.0303484	432.075	20.78641
0.0306875	403.649	20.09102
0.0310266	378.023	19.44281
0.0313657	352.584	18.77722
0.0317047	329.071	18.14031
0.0320438	305.547	17.4799
0.0323829	283.782	16.84583
0.032722	262.603	16.20503
0.0330611	243.086	15.59122
0.0334002	223.956	14.96516
0.0337393	206.864	14.38277
0.0340784	190.458	13.80065
0.0344174	174.894	13.22475
0.0347565	160.368	12.66365
0.0350956	146.272	12.0943
