Size	GNOM_PR	GNOM_Err
0	0	0
3.3	7.159e-07	1.633e-07
6.6	2.086e-06	7.63e-08
9.9	3.387e-06	1.566e-07
13.2	4.862e-06	1.944e-07
16.5	6.615e-06	1.265e-07
19.8	8.558e-06	1.292e-07
23.1	1.033e-05	2.111e-07
26.4	1.192e-05	1.803e-07
29.7	1.348e-05	1.222e-07
33	1.543e-05	2.046e-07
36.3	1.759e-05	2.375e-07
39.6	2.007e-05	1.732e-07
42.9	2.252e-05	1.985e-07
46.2	2.499e-05	2.744e-07
49.5	2.733e-05	2.605e-07
52.8	2.95e-05	2.4e-07
56.1	3.17e-05	3.003e-07
59.4	3.4e-05	3.417e-07
62.7	3.634e-05	3.206e-07
66	3.872e-05	3.426e-07
69.3	4.094e-05	4.047e-07
72.6	4.303e-05	4.078e-07
75.9	4.503e-05	4.034e-07
79.2	4.687e-05	4.553e-07
82.5	4.878e-05	4.951e-07
85.8	5.078e-05	4.91e-07
89.1	5.28e-05	5.17e-07
92.4	5.477e-05	5.655e-07
95.7	5.653e-05	5.812e-07
99	5.81e-05	5.835e-07
102.3	5.956e-05	6.293e-07
105.6	6.098e-05	6.664e-07
108.9	6.252e-05	6.732e-07
112.2	6.41e-05	7.033e-07
115.5	6.56e-05	7.508e-07
118.8	6.686e-05	7.644e-07
122.1	6.792e-05	7.721e-07
125.4	6.884e-05	8.103e-07
128.7	6.974e-05	8.503e-07
132	7.072e-05	8.641e-07
135.3	7.16e-05	8.87e-07
138.6	7.241e-05	9.218e-07
141.9	7.299e-05	9.322e-07
145.2	7.342e-05	9.353e-07
148.5	7.371e-05	9.661e-07
151.8	7.406e-05	9.984e-07
155.1	7.452e-05	1.008e-06
158.4	7.512e-05	1.019e-06
161.7	7.568e-05	1.035e-06
165	7.612e-05	1.036e-06
168.3	7.633e-05	1.038e-06
171.6	7.634e-05	1.07e-06
174.9	7.627e-05	1.105e-06
178.2	7.615e-05	1.112e-06
181.5	7.602e-05	1.112e-06
184.8	7.578e-05	1.12e-06
188.1	7.524e-05	1.114e-06
191.4	7.438e-05	1.116e-06
194.7	7.33e-05	1.153e-06
198	7.212e-05	1.191e-06
201.3	7.093e-05	1.192e-06
204.6	6.979e-05	1.183e-06
207.9	6.856e-05	1.173e-06
211.2	6.717e-05	1.152e-06
214.5	6.561e-05	1.147e-06
217.8	6.397e-05	1.178e-06
221.1	6.237e-05	1.204e-06
224.4	6.085e-05	1.19e-06
227.7	5.931e-05	1.164e-06
231	5.748e-05	1.133e-06
234.3	5.516e-05	1.088e-06
237.6	5.225e-05	1.069e-06
240.9	4.886e-05	1.093e-06
244.2	4.524e-05	1.105e-06
247.5	4.162e-05	1.075e-06
250.8	3.808e-05	1.029e-06
254.1	3.446e-05	9.699e-07
257.4	3.068e-05	9.055e-07
260.7	2.663e-05	8.99e-07
264	2.253e-05	9.393e-07
267.3	1.865e-05	9.407e-07
270.6	1.521e-05	8.924e-07
273.9	1.226e-05	8.237e-07
277.2	9.611e-06	7.334e-07
280.5	7.111e-06	6.758e-07
283.8	4.762e-06	7.142e-07
287.1	2.783e-06	7.559e-07
290.4	1.473e-06	7.223e-07
293.7	8.902e-07	6.38e-07
297	7.74e-07	5.077e-07
300.3	6.654e-07	3.792e-07
303.6	2.521e-07	4.136e-07
306.9	-3.693e-07	4.793e-07
310.2	-7.525e-07	4.835e-07
313.5	-5.169e-07	4.329e-07
316.8	1.387e-07	2.278e-07
320.1	4.972e-07	2.546e-07
323.4	1.579e-08	2.854e-07
326.7	-8.403e-07	4.71e-07
330	0	0
