Q_Data	R_Data	S_Data
0.009502	0.1187	0.0108
0.01003	0.1067	0.008979
0.01056	0.09787	0.007416
0.01109	0.09262	0.006092
0.01161	0.08744	0.004989
0.01214	0.08254	0.004085
0.01267	0.07752	0.00336
0.0132	0.07244	0.002795
0.01372	0.06712	0.002369
0.01425	0.06239	0.002063
0.01478	0.05787	0.001856
0.01531	0.05326	0.002295
0.01584	0.04883	0.002171
0.01636	0.04442	0.001692
0.01689	0.04031	0.001345
0.01742	0.0365	0.001115
0.01795	0.03282	0.0009473
0.01848	0.02946	0.0008478
0.019	0.02639	0.0008072
0.01953	0.02353	0.0008345
0.02006	0.02077	0.000877
0.02059	0.0183	0.0009
0.02111	0.01622	0.0008929
0.02164	0.01429	0.000831
0.02217	0.01255	0.0007237
0.0227	0.011	0.0006421
0.02323	0.009669	0.0005964
0.02375	0.008585	0.0005781
0.02428	0.007651	0.000589
0.02481	0.006861	0.0006266
0.02534	0.006212	0.0006806
0.02587	0.005697	0.0007253
0.02639	0.005284	0.0007446
0.02692	0.004975	0.0007453
0.02745	0.004779	0.0007189
0.02798	0.004648	0.0006572
0.0285	0.004581	0.0005674
0.02903	0.004566	0.0004821
0.02956	0.004587	0.0004025
0.03009	0.004637	0.000334
0.03062	0.004701	0.0002802
0.03114	0.004786	0.0002429
0.03167	0.004865	0.0002214
0.0322	0.004951	0.0002157
0.03273	0.005021	0.0002238
0.03326	0.00508	0.0002415
0.03378	0.005111	0.0002653
0.03431	0.005128	0.0002911
0.03484	0.005122	0.0003147
0.03537	0.005092	0.0003326
0.03589	0.005036	0.00034
0.03642	0.004952	0.0003332
0.03695	0.004848	0.0003143
0.03748	0.004719	0.0002942
0.03801	0.004573	0.0002749
0.03853	0.004402	0.0002568
0.03906	0.004221	0.0002404
0.03959	0.004028	0.000225
0.04012	0.003824	0.0002093
0.04065	0.003605	0.0001912
0.04117	0.00339	0.0001722
0.0417	0.003174	0.0001532
0.04223	0.00296	0.0001344
0.04276	0.002744	0.0001174
0.04328	0.002536	0.0001023
0.04381	0.002334	9.038e-05
0.04434	0.002151	8.113e-05
0.04487	0.001973	7.531e-05
0.0454	0.001803	7.328e-05
0.04592	0.001654	7.503e-05
0.04645	0.001527	7.947e-05
0.04698	0.00141	8.663e-05
0.04751	0.001307	9.577e-05
0.04804	0.001225	0.0001058
0.04856	0.001154	0.0001152
0.04909	0.001103	0.0001215
0.04962	0.001061	0.0001228
0.05015	0.001032	0.0001194
0.05067	0.001017	0.0001105
0.0512	0.001013	9.777e-05
0.05173	0.001016	8.488e-05
0.05226	0.001028	7.223e-05
0.05279	0.001045	6.095e-05
0.05331	0.001065	5.205e-05
0.05384	0.00109	4.578e-05
0.05437	0.001118	4.246e-05
0.0549	0.001147	4.128e-05
0.05542	0.001174	4.273e-05
0.05595	0.001203	4.618e-05
0.05648	0.001224	5.114e-05
0.05701	0.001242	5.684e-05
0.05754	0.001258	6.272e-05
0.05806	0.00127	6.791e-05
0.05859	0.001276	7.137e-05
0.05912	0.001273	7.289e-05
0.05965	0.001266	7.139e-05
0.06018	0.001258	6.796e-05
0.0607	0.00124	6.404e-05
0.06123	0.001221	5.981e-05
0.06176	0.001195	5.535e-05
0.06229	0.001165	5.029e-05
0.06281	0.001131	4.458e-05
0.06334	0.001094	3.874e-05
0.06387	0.001058	3.315e-05
0.0644	0.001015	2.832e-05
0.06493	0.0009724	2.388e-05
0.06545	0.0009295	2.016e-05
0.06598	0.0008859	1.766e-05
0.06651	0.0008417	1.598e-05
0.06704	0.0008037	1.539e-05
0.06756	0.0007623	1.585e-05
0.06809	0.0007253	1.714e-05
0.06862	0.0006905	1.921e-05
0.06915	0.0006576	2.186e-05
0.06968	0.0006308	2.518e-05
0.0702	0.0006044	2.848e-05
0.07073	0.0005831	3.149e-05
0.07126	0.0005669	3.403e-05
0.07179	0.000552	3.544e-05
0.07231	0.0005406	3.504e-05
0.07284	0.0005341	3.308e-05
0.07337	0.0005291	2.997e-05
0.0739	0.0005276	2.642e-05
0.07443	0.0005288	2.266e-05
0.07495	0.0005326	1.911e-05
0.07548	0.0005367	1.58e-05
0.07601	0.0005416	1.321e-05
0.07654	0.0005492	1.135e-05
0.07706	0.0005577	1.018e-05
0.07759	0.0005643	9.772e-06
0.07812	0.0005719	1.012e-05
0.07865	0.0005794	1.112e-05
0.07918	0.0005851	1.255e-05
0.0797	0.0005918	1.423e-05
0.08023	0.0005972	1.606e-05
0.08076	0.000601	1.777e-05
0.08129	0.0006025	1.927e-05
0.08181	0.0006023	2.046e-05
0.08234	0.0005999	2.092e-05
0.08287	0.0005965	2.063e-05
0.0834	0.0005914	2.009e-05
0.08393	0.0005828	1.939e-05
0.08445	0.0005752	1.855e-05
0.08498	0.0005661	1.74e-05
0.08551	0.0005549	1.595e-05
0.08604	0.0005424	1.421e-05
0.08656	0.0005284	1.249e-05
0.08709	0.0005125	1.09e-05
0.08762	0.0004968	9.348e-06
0.08815	0.0004829	7.991e-06
0.08868	0.0004664	6.958e-06
0.0892	0.0004498	6.188e-06
0.08973	0.0004333	5.678e-06
0.09026	0.0004174	5.513e-06
0.09079	0.0004032	5.648e-06
0.09131	0.0003874	6.191e-06
0.09184	0.0003743	7.001e-06
0.09237	0.0003633	8.005e-06
0.0929	0.000351	9.082e-06
0.09342	0.0003414	1.012e-05
0.09395	0.0003336	1.123e-05
0.09448	0.0003256	1.212e-05
0.09501	0.0003207	1.265e-05
0.09554	0.000316	1.252e-05
0.09606	0.0003112	1.184e-05
0.09659	0.0003097	1.073e-05
0.09712	0.0003081	9.576e-06
0.09765	0.0003074	8.369e-06
0.09817	0.0003084	7.115e-06
0.0987	0.0003096	5.967e-06
0.09923	0.000312	4.942e-06
0.09976	0.0003145	4.076e-06
0.1003	0.0003174	3.518e-06
0.1008	0.0003213	3.18e-06
0.1013	0.0003234	3.12e-06
0.1019	0.0003276	3.394e-06
0.1024	0.0003305	3.794e-06
0.1029	0.0003333	4.405e-06
0.1035	0.0003357	5.203e-06
0.104	0.0003391	5.865e-06
0.1045	0.0003421	6.391e-06
0.105	0.0003442	6.817e-06
0.1056	0.0003458	6.992e-06
0.1061	0.0003463	6.857e-06
0.1066	0.0003458	6.588e-06
0.1071	0.0003451	6.151e-06
0.1077	0.0003441	5.733e-06
0.1082	0.0003416	5.259e-06
0.1087	0.0003377	4.633e-06
0.1093	0.000336	3.878e-06
0.1098	0.000334	3.255e-06
0.1103	0.0003295	2.764e-06
0.1108	0.000326	2.375e-06
0.1114	0.0003223	2.033e-06
0.1119	0.000318	1.758e-06
0.1124	0.0003133	1.535e-06
0.113	0.000308	1.374e-06
0.1135	0.0003026	1.281e-06
0.114	0.000296	1.269e-06
0.1145	0.0002902	1.261e-06
0.1151	0.0002862	1.4e-06
0.1156	0.0002821	1.545e-06
0.1161	0.0002778	1.576e-06
0.1166	0.0002723	1.719e-06
0.1172	0.0002674	1.92e-06
0.1177	0.0002628	2.027e-06
0.1182	0.000258	2.132e-06
0.1188	0.000253	2.172e-06
0.1193	0.0002493	2.104e-06
0.1198	0.0002467	2.006e-06
0.1203	0.0002446	1.983e-06
0.1209	0.0002404	1.821e-06
0.1214	0.0002363	1.592e-06
0.1219	0.0002346	1.401e-06
0.1224	0.0002327	1.179e-06
0.123	0.000229	9.839e-07
0.1235	0.0002268	7.824e-07
0.124	0.0002254	6.451e-07
0.1246	0.0002227	5.899e-07
0.1251	0.0002212	5.935e-07
0.1256	0.0002188	5.723e-07
0.1261	0.0002179	4.797e-07
0.1267	0.0002162	4.176e-07
0.1272	0.0002128	4.497e-07
0.1277	0.0002106	4.503e-07
0.1283	0.0002096	4.035e-07
0.1288	0.0002081	4.301e-07
0.1293	0.0002062	4.812e-07
0.1298	0.0002052	4.667e-07
0.1304	0.0002037	4.426e-07
0.1309	0.0002022	4.298e-07
0.1314	0.0002004	3.827e-07
0.1319	0.0001984	4.109e-07
0.1325	0.0001967	5.005e-07
0.133	0.0001955	5.136e-07
0.1335	0.0001957	5.33e-07
0.1341	0.0001931	5.372e-07
0.1346	0.0001926	5.198e-07
0.1351	0.0001918	4.39e-07
0.1356	0.0001904	3.703e-07
0.1362	0.0001893	4.016e-07
0.1367	0.0001883	4.24e-07
0.1372	0.0001862	3.84e-07
0.1377	0.0001852	3.714e-07
0.1383	0.0001846	3.742e-07
0.1388	0.0001831	3.813e-07
0.1393	0.0001823	4.184e-07
