SMR_Qvec	SMR_Int	SMR_Error
-0.000487905	1550.962116	51.49286
-0.000468408	1638.670666	54.70226
-0.000448911	1693.794955	57.72146
-0.000410009	1772.780509	67.89201
-0.000400261	2070.022365	73.43427
-0.000371015	2103.662219	82.5353
-0.000361359	2514.352357	89.31577
-0.000312616	2886.545631	117.5413
-0.000302868	3134.679174	131.9223
-0.000283463	3397.049065	148.3644
-0.000263966	3404.037683	175.0159
-0.000254218	3999.958615	204.856
-0.000215316	4803.828158	336.7562
-0.000195819	3838.952338	433.2869
-0.00018607	5761.87499	612.3441
-0.000166573	4636.481648	1068.346
-0.000147169	13535.17429	2362.485
-0.000117923	-31464.8918	17387.21
-0.000108175	-86278.25904	33869.8
-8.88E-05	502856.3513	95693.55
-6.93E-05	-312179.7686	230018.2
-5.95E-05	938005.4168	474764.1
-2.06E-05	-887310.9383	867443.8
-1.09E-05	1277554.133	917993.7
8.62E-06	911726.7736	886917.6
2.81E-05	1230518.531	763725.9
6.70E-05	1431688.326	366947.9
8.65E-05	1201571.454	232952
9.63E-05	915272.9774	157631.4
0.000115671	1005591.006	30921.29
0.00012542	102746.3378	12260.65
0.000164414	18566.19924	2098.447
0.000183818	15814.99942	1312.238
0.000193567	7652.019016	446.2525
0.000203316	5296.558248	331.6476
0.000222813	5032.943745	264.3872
0.000251966	3554.505381	189.5587
0.000271463	3982.38087	160.1818
0.000281211	3489.96404	143.3682
0.000300709	3199.561926	123.4595
0.000310457	2753.577169	111.3542
0.000349359	2565.965171	91.26656
0.000368856	2372.609123	82.52644
0.00038826	2170.450176	75.01384
0.000407757	2087.725076	68.88189
0.000456407	1827.305615	57.91871
0.000466156	1682.948838	55.39164
0.000485653	1570.9138	52.48756
0.00050515	1510.009453	49.43318
0.000524554	1448.421333	46.41156
0.0005538	1290.827925	42.62065
0.000573297	1269.32552	41.1437
0.000592702	1253.785292	39.36691
0.00060245	1210.140842	38.0644
0.000641444	1155.3706	35.19694
0.000651193	1094.953868	34.21677
0.000670597	1040.599854	32.9374
0.000690095	1028.373907	31.98329
0.00071934	980.1449953	30.52755
0.000748493	921.3432773	29.25806
0.000777739	859.6114936	28.09076
0.000797143	823.215693	27.09362
0.000845886	756.1718472	25.3904
0.00086529	723.7680587	24.89822
0.000884788	682.1814372	24.30167
0.000904285	658.1580132	23.8686
0.000943186	608.7339242	22.83344
0.000962683	609.1034719	21.98011
0.00098218	576.0571261	19.57941
0.001001585	566.99129	19.25405
0.001040579	541.3395969	18.5447
0.001060076	521.0756805	18.22682
0.001079481	511.4015728	17.87465
0.001098978	502.5565254	17.53726
0.001147628	476.1571763	16.87606
0.001167125	454.9020094	16.49545
0.001196371	439.0152441	16.21575
0.001245021	410.113957	15.66177
0.001264518	397.7855567	15.34448
0.001283922	388.2864696	15.07659
0.001332665	371.3938084	14.56636
0.001352069	367.5990145	14.38441
0.001371566	360.5908078	14.17295
0.001391064	344.1497697	13.9445
0.001429965	329.0194779	13.6407
0.001459211	322.6451133	13.44151
0.001478615	311.9356403	13.28021
0.001527358	299.1145426	12.91052
0.001556511	292.708742	5.824899
0.001576008	279.3304371	5.661975
0.001634407	263.4526493	5.395427
0.001653904	256.9210088	5.279674
0.001673401	251.7991148	5.149402
0.0017318	236.6800346	4.894634
0.001751204	229.9753759	4.781367
0.00178045	223.6542211	4.668388
0.001819351	214.2739019	4.519546
0.001848597	208.2958629	4.418059
0.001868094	203.6013063	4.307078
0.001916744	198.4202563	4.176457
0.00194599	192.5610037	4.061553
0.001975143	187.4327472	3.946052
0.002033541	179.1776365	3.789165
0.002062787	173.1542501	3.716788
0.00209194	167.449648	3.634999
0.002140683	162.2716332	3.524033
0.002169836	160.9388678	3.449869
0.00220883	156.3518037	3.361459
0.002237983	152.7571777	3.296888
0.002267228	149.2705745	3.229677
0.002315879	142.4505922	3.112078
0.002345124	138.2487866	3.029363
0.002393774	135.1278857	2.938166
0.002442424	131.5008537	2.857977
0.00247167	129.6827248	2.797258
0.00252032	126.2461011	2.711266
0.002549566	124.5411084	2.670585
0.002588467	122.2642723	2.606886
0.002627462	119.808458	2.546215
0.002656614	116.7325371	2.498861
0.002705357	112.5585383	2.42207
0.002744259	109.6072085	2.369729
0.002812406	105.8895088	2.291036
0.002841652	104.7681953	2.265876
0.002890302	101.9894679	2.212219
0.002919455	99.70376836	2.171567
0.002958449	97.07968965	2.115992
0.003007099	93.06548641	2.047757
0.003036345	91.86333771	2.012136
0.003094743	89.2386987	1.954476
0.003133645	86.9977139	1.907303
0.003192043	84.20155789	1.848182
0.003231038	81.66654649	1.820468
0.003289436	79.67400699	1.771944
0.003318682	77.70303352	1.738143
0.003377081	75.47683285	1.687031
0.003406234	73.79391233	1.660192
0.003464632	71.07472475	1.610807
0.003513375	68.69945079	1.570659
0.003581522	64.90192634	1.510336
0.003620424	63.5247158	1.479305
0.003678822	62.03860283	1.445474
0.003717817	60.50528268	1.416543
0.003776215	59.29649472	1.378796
0.003815117	58.06419944	1.353514
0.003883264	56.06999585	1.308656
0.003922258	54.12167827	1.277621
0.004000154	52.89291812	1.240242
0.004058553	50.55885249	1.204714
0.004097454	49.5259747	1.18713
0.004165601	48.54510688	1.158422
0.004204595	47.80634797	1.141824
0.004272743	46.61284839	1.111651
0.004321393	45.44006239	1.087435
0.004399288	44.23941818	1.057701
0.004467436	42.68556885	1.028593
0.004516086	42.15630364	1.013084
0.004564736	40.92563351	0.9881188
0.004613479	40.50350391	0.9726188
0.00470103	39.05373744	0.9439682
0.004778926	37.6222316	0.915088
0.004827576	37.01749897	0.901554
0.004895723	35.79355942	0.8777116
0.004954214	34.86158377	0.8589932
0.005002865	34.16919237	0.8448552
0.00508076	33.00945314	0.8221226
0.005158656	32.15939819	0.8022043
0.005226803	30.87299334	0.781188
0.005285202	30.13535976	0.7675013
0.005353349	29.55335012	0.7511824
0.005421496	28.60874743	0.7362495
0.005489643	27.72128691	0.7227139
0.005567539	26.63800455	0.7038197
0.005645435	25.80221267	0.6879323
0.005713582	25.67148308	0.6764134
0.005771981	24.76596888	0.6592213
0.005849876	24.33120412	0.644797
0.005927679	23.37753763	0.6263059
0.006015324	22.5682222	0.6084258
0.006073722	22.07011386	0.5987608
0.006141869	21.44095482	0.5861397
0.006229514	20.99670465	0.5750834
0.006326907	20.43334247	0.5595068
0.00640471	19.6338522	0.5458476
0.006482605	19.05816993	0.5337848
0.006550753	18.85135642	0.5245631
0.006648145	18.08944044	0.5101679
0.006745446	17.49152959	0.4967558
0.00683309	17.00219608	0.4848697
0.006910986	16.56582853	0.4741983
0.00699863	15.89989463	0.4641546
0.007105679	15.3960781	0.4499581
0.007203071	14.83721807	0.4374426
0.007280967	14.70186601	0.4301085
0.00735877	14.51094477	0.42485
0.00747566	14.02142557	0.41263
0.007563212	13.75834391	0.4065484
0.007650856	13.49607501	0.3993043
0.007748249	13.15253952	0.3930995
0.007855297	12.6534582	0.383482
0.00795269	12.23363607	0.3752371
0.00804999	11.73544734	0.3670037
0.008137635	11.44083048	0.3581252
0.008273929	10.81829295	0.3472899
0.008371322	10.64381896	0.342595
0.008458873	10.26988865	0.3347887
0.008566015	10.01038338	0.3287594
0.008682812	9.743575023	0.3218216
0.008780205	9.485192005	0.3157993
0.008887254	9.398067339	0.3113381
0.008994395	9.092276944	0.3047339
0.009130689	8.786462731	0.2965448
0.009237738	8.551654342	0.2920069
0.009344787	8.260022199	0.2862392
0.009471425	8.19082391	0.2807182
0.009597971	7.94438451	0.2752264
0.00970502	7.535657402	0.2699127
0.009860811	7.275182843	0.2631139
0.00996786	7.091174253	0.2592428
0.01008475	6.880856996	0.2546956
0.010240448	6.650248504	0.2480085
0.010357338	6.459685304	0.2436959
0.010474136	6.228322962	0.2395802
0.010639583	6.028376947	0.2340859
0.010756473	5.920354313	0.2305718
0.01087327	5.650373869	0.2252098
0.01103881	5.557439895	0.2220009
0.011165356	5.418815269	0.2184293
0.01130165	5.312656602	0.2136075
0.011437944	5.173955725	0.1884184
0.011593736	5.031631858	0.1848674
0.01173003	4.93856702	0.1818496
0.011895477	4.731161958	0.1771889
0.012031772	4.7301821	0.1757168
0.01220706	4.534033886	0.1714791
0.012343354	4.434621602	0.1695911
0.012508802	4.244641671	0.1653472
0.01268409	4.040570352	0.1613876
0.01283004	3.910906906	0.1587817
0.013005329	3.845529676	0.1564728
0.013170776	3.663285093	0.1518717
0.013326567	3.730809265	0.1511509
0.013501856	3.542570843	0.1477035
0.013667303	3.506030912	0.1462931
0.013852247	3.343987466	0.1425384
0.01399829	3.355172713	0.1421425
0.014192983	3.207447912	0.1396185
0.014358523	3.138575888	0.1376657
0.014562964	3.089710235	0.134937
0.014738253	2.938800048	0.1323674
0.014942694	2.846236054	0.129681
0.015127639	2.788058503	0.1281081
0.015341829	2.735827931	0.06184231
0.015526773	2.704339627	0.06045754
0.015740963	2.611013068	0.05844327
0.015925907	2.577737368	0.05726179
0.016140097	2.429810837	0.05509499
0.01633479	2.360115026	0.05400997
0.016558728	2.250752921	0.05234971
0.01676317	2.193609817	0.05100874
0.016977359	2.116695364	0.04993983
0.017191549	2.085292569	0.04864274
0.017425144	2.011192896	0.0474863
0.017668579	1.975321567	0.04618451
0.017882769	1.948880131	0.04559926
0.01813586	1.856448136	0.04440083
0.018369454	1.864896538	0.04325232
0.018603141	1.76520324	0.04186177
0.018865981	1.698639232	0.04077386
0.01908992	1.631406578	0.03966993
0.019352759	1.627251839	0.03883417
0.019615599	1.60919236	0.03769467
0.019839538	1.498242123	0.0366406
0.020112126	1.467037691	0.03551976
0.020404211	1.428317768	0.03464388
0.020647554	1.397423712	0.03388378
0.020939639	1.336844067	0.03300354
0.021221976	1.322753223	0.03225654
0.021494564	1.271726536	0.03159219
0.021776901	1.226908128	0.0307628
0.022068894	1.187893273	0.03000058
0.022370728	1.141675018	0.02921758
0.022653064	1.089866878	0.02844845
0.022964554	1.068102868	0.02798913
0.023276136	1.049342684	0.02726475
0.023587626	1.019785218	0.02656982
0.023928361	1.011695088	0.02592681
0.024230195	0.956436087	0.02514553
0.024551433	0.960695257	0.02502221
0.024892168	0.931700396	0.0242615
0.025223155	0.895978068	0.02365988
0.025573638	0.886735336	0.0231644
0.025914373	0.882201512	0.02285193
0.026284354	0.833004852	0.02222696
0.026654242	0.788263299	0.02164132
0.026994977	0.782848485	0.02118502
0.027364957	0.783995484	0.02092573
0.027734845	0.767090426	0.02072731
0.028114574	0.733429509	0.01981873
0.028503959	0.677996923	0.01943881
0.028903092	0.678563365	0.01925234
0.029311974	0.667909886	0.01888265
0.029720856	0.659259401	0.01838424
0.030120081	0.63732741	0.0179629
0.030548367	0.611221309	0.01767234
0.030966997	0.614783852	0.01760712
0.031405125	0.610956066	0.01722223
0.031843159	0.582719446	0.01689369
0.032300783	0.599658289	0.01669136
0.032738817	0.575281399	0.01638942
0.033186693	0.548059475	0.01614153
0.033673469	0.576549697	0.01621917
0.034150498	0.551072519	0.01580927
0.034637181	0.537887397	0.01542034
0.035123958	0.507245523	0.01527801
0.035620483	0.532433469	0.01523079
0.036117008	0.494741632	0.01475505
0.036623188	0.486657347	0.01463312
0.037178111	0.506764844	0.01458364
0.037703882	0.484501011	0.01429396
0.038239307	0.451534017	0.01413918
0.038784482	0.467007031	0.01396339
0.039339404	0.463954802	0.01401502
0.039933228	0.443500216	0.01351835
0.040497899	0.431441679	0.01328416
0.041081974	0.444961923	0.01333953
0.041666142	0.442611939	0.01323011
0.042298867	0.392121468	0.01285512
0.042912187	0.425720116	0.01293114
0.043535256	0.426416559	0.01297031
0.04418757	0.402926232	0.01270797
0.044820294	0.409241916	0.01258168
0.045501853	0.389455883	0.01250583
0.046183319	0.384644946	0.01226441
0.046855036	0.388982393	0.01226008
0.047555906	0.393602144	0.01197705
0.048276366	0.384494421	0.01203839
0.048987077	0.359873702	0.01177038
0.049736689	0.408716949	0.01186769
0.050505704	0.375348034	0.01174097
0.05124566	0.367956498	0.01174587
0.052014675	0.361834091	0.01151501
0.052793531	0.366383947	0.01159105
0.053621037	0.34594263	0.01136267
0.054419297	0.355451779	0.01135344
0.055266298	0.374698601	0.0113046
0.056103458	0.353704268	0.01111273
0.056960208	0.343665972	0.01097739
0.057836361	0.330376589	0.01090446
0.058732011	0.347490503	0.01094509
0.059647158	0.349132903	0.01073783
0.060571959	0.350553973	0.01068128
0.061526005	0.342316993	0.01060577
0.0624898	0.339118566	0.01049049
0.063443845	0.326508138	0.01036958
0.064466036	0.323962494	0.01033293
0.065459074	0.328029557	0.0101911
0.066510417	0.323079014	0.01002995
0.067561851	0.326231475	0.01011174
0.068603537	0.325861012	0.01007395
0.069713275	0.328507207	0.009938101
0.070813357	0.3152875	0.009785756
0.071952432	0.313906972	0.009670539
0.073110909	0.336830888	0.009741264
0.074269386	0.32311146	0.009603824
0.075496008	0.307696399	0.009468972
0.076683636	0.314195938	0.009557531
0.077949249	0.319412879	0.009487801
0.079195365	0.324251709	0.00945891
0.080509532	0.323554349	0.009416743
0.081668096	0.329416867	0.009422787
0.082777826	0.324027733	0.009488977
0.084130983	0.319265894	0.009379917
0.085552377	0.33140991	0.009259914
0.08695418	0.307638387	0.00923571
0.088414472	0.315703784	0.009211564
0.089865014	0.309236107	0.009207557
0.091403103	0.311155726	0.009200406
0.092941283	0.322980032	0.009216818
0.094508613	0.323444999	0.009265837
0.096114841	0.324751049	0.009118353
0.097750312	0.302261936	0.009010267
0.099463673	0.339224572	0.009257684
0.101138133	0.308215894	0.009060284
0.102880641	0.312848814	0.008994654
0.104671888	0.307426622	0.008929309
0.106492283	0.332578727	0.009012992
0.108332172	0.312905871	0.00906479
0.110240295	0.305782668	0.008953441
0.112167724	0.304504638	0.008894937
0.114134236	0.298608839	0.008882776
0.116159047	0.311210529	0.008918372
0.118222846	0.314544084	0.00898625
0.120296296	0.326363136	0.008866082
0.122457474	0.325632753	0.008995173
0.124628302	0.316948901	0.008903919
0.126877017	0.317590988	0.008791148
0.129164717	0.323462096	0.008848352
0.131491312	0.298195459	0.008746741
0.133866547	0.309566845	0.008813157
0.136280767	0.310109311	0.008739365
0.138782526	0.291846589	0.00864935
0.141313521	0.304963153	0.008652864
0.143922398	0.325477521	0.008696232
0.146599409	0.320216601	0.008717078
0.149295814	0.300547957	0.008668696
0.152089594	0.305342702	0.008600656
0.154912607	0.319198441	0.00872001
0.157784255	0.305875951	0.00859927
0.160753276	0.316255831	0.0086305
0.163780585	0.309024669	0.008513991
0.16682747	0.310396039	0.008562847
0.169981379	0.303914055	0.008586774
0.173193665	0.307071938	0.008642094
0.176444834	0.304851464	0.008387923
0.179832357	0.289800756	0.008390374
0.183278162	0.304874563	0.008510218
0.186792179	0.320116489	0.008495603
0.190374223	0.309549732	0.00852024
0.194063372	0.300248957	0.008296781
0.197781741	0.326795911	0.00846289
0.201646014	0.299984542	0.008345342
0.205568745	0.308772261	0.008347585
0.20962772	0.31892477	0.008374012
0.213725563	0.287513516	0.008258994
0.217969391	0.31571266	0.008494435
0.222261828	0.298812988	0.008387236
0.226719738	0.301372437	0.00847659
0.231235998	0.303036905	0.008317537
0.235859245	0.309913748	0.00836051
0.240647953	0.316638864	0.008445288
0.245504748	0.308022942	0.00849874
0.250488009	0.321496287	0.008523673
0.255617226	0.312483517	0.008452147
0.260882645	0.302262307	0.008375494
0.266225834	0.307657133	0.008497264
0.271734452	0.306114305	0.00839395
0.277389002	0.319804137	0.00840543
0.283169939	0.303651804	0.008227993
0.289067651	0.316272672	0.008264365
0.295140417	0.306899393	0.008004526
0.301378575	0.303790546	0.007916402
0.307772278	0.310201017	0.007932542
0.314341099	0.318699806	0.007932138
0.321055793	0.30887644	0.00783776
0.327955236	0.313350834	0.007937011
0.335039414	0.31218141	0.008002615
0.342337592	0.317372952	0.008020594
0.349791293	0.303681935	0.007772547
0.357390759	0.326122225	0.00798652
0.365184694	0.305714936	0.00783414
0.373202217	0.318777358	0.00790135
0.381433613	0.316057913	0.00785433
0.389869164	0.316507228	0.007909929
0.398508756	0.311262618	0.00782884
0.407391336	0.309455546	0.007788176
0.416477957	0.310782308	0.007814507
0.42586587	0.31162621	0.007889485
0.435486943	0.319402838	0.007757168
0.445389804	0.314927134	0.007846697
0.455584156	0.329877969	0.007874976
0.466021258	0.322892529	0.007921141
0.476778943	0.32622076	0.007906527
0.487808512	0.340293871	0.00797217
0.499187738	0.334605398	0.007917236
0.510887344	0.342116729	0.008072065
0.522965701	0.322790915	0.007963398
0.535364312	0.328260605	0.007919897
0.548112276	0.336500686	0.007972977
0.561141549	0.343064646	0.008114589
0.574520028	0.34830538	0.008133329
0.588286523	0.344669877	0.008054083
0.602431296	0.356514174	0.008187598
0.616993043	0.40305218	0.01093346
0.632000872	0.346255276	0.008112013
0.647454629	0.361889989	0.008216909
0.663393012	0.372139722	0.008228838
0.679747914	0.37349549	0.008342514
0.69664544	0.382114748	0.008317534
0.714114585	0.395128933	0.008359237
0.73213568	0.402976192	0.00849231
0.750591969	0.413565718	0.008534112
0.769580372	0.409842004	0.008399915
0.789061774	0.407796157	0.008464148
0.809181614	0.431530458	0.008850665
0.829920133	0.459472347	0.009422079
0.851335267	0.459870695	0.009280323
0.873436334	0.476625939	0.009324595
0.896213235	0.46468187	0.009094488
0.919772243	0.480525935	0.009406426
0.944112869	0.498227287	0.009578865
0.969118166	0.500168459	0.00968127
0.994816715	0.500305978	0.009561104
1.021372753	0.486871405	0.009613954
1.048834031	0.478171109	0.00941049
1.07714161	0.476425953	0.009493677
1.106362491	0.477873178	0.00944819
1.136679772	0.447910302	0.00927794
1.167869617	0.395153051	0.009492453
1.199979425	-0.165913547	0.01267439
